product_id,customer_id,order_id,id,sales,quantity,discount,profit,order_date,ship_date,ship_mode,customer_name,segment,country,state,city,postal_code,region,product_name,category,subcategory
OFF-AP-10000576,AA-10315,CA-2017-147039,1161,362.9400,3,0.000,90.7350,2017-06-29,2017-07-04,"Standard Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"Belkin 325VA UPS Surge Protector, 6'","Office Supplies",Appliances
OFF-BI-10004654,AA-10315,CA-2017-147039,1162,11.5400,2,0.000,5.7700,2017-06-29,2017-07-04,"Standard Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"VariCap6 Expandable Binder","Office Supplies",Binders
OFF-ST-10001590,AA-10315,CA-2015-121391,1301,26.9600,2,0.000,7.0096,2015-10-04,2015-10-07,"First Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"Tenex Personal Project File with Scoop Front Design, Black","Office Supplies",Storage
OFF-BI-10004390,AA-10315,CA-2014-128055,2231,673.5680,2,0.200,252.5880,2014-03-31,2014-04-05,"Standard Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"GBC DocuBind 200 Manual Binding Machine","Office Supplies",Binders
OFF-AP-10002765,AA-10315,CA-2014-128055,2232,52.9800,2,0.000,14.8344,2014-03-31,2014-04-05,"Standard Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"Fellowes Advanced Computer Series Surge Protectors","Office Supplies",Appliances
OFF-SU-10000151,AA-10315,CA-2016-103982,5200,3930.0720,3,0.200,-786.0144,2016-03-03,2016-03-08,"Standard Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"High Speed Automatic Electric Letter Opener","Office Supplies",Supplies
OFF-FA-10001332,AA-10315,CA-2016-103982,5201,2.3040,1,0.200,0.7776,2016-03-03,2016-03-08,"Standard Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"Acco Banker's Clasps, 5 3/4"-Long","Office Supplies",Fasteners
TEC-PH-10000895,AA-10315,CA-2016-103982,5202,431.9760,3,0.200,32.3982,2016-03-03,2016-03-08,"Standard Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"Polycom VVX 310 VoIP phone",Technology,Phones
TEC-AC-10002857,AA-10315,CA-2016-103982,5203,41.7200,7,0.200,5.7365,2016-03-03,2016-03-08,"Standard Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",Technology,Accessories
OFF-PA-10000349,AA-10315,CA-2014-138100,7470,14.9400,3,0.000,7.0218,2014-09-15,2014-09-20,"Standard Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"Easy-staple paper","Office Supplies",Paper
FUR-FU-10002456,AA-10315,CA-2014-138100,7471,14.5600,2,0.000,6.2608,2014-09-15,2014-09-20,"Standard Class","Alex Avila",Consumer,"United States","New York","New York City",10011,East,"Master Caster Door Stop, Large Neon Orange",Furniture,Furnishings
OFF-ST-10001325,AA-10375,CA-2016-126613,537,16.7680,2,0.200,1.4672,2016-07-10,2016-07-16,"Standard Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Sterilite Officeware Hinged File Box","Office Supplies",Storage
FUR-FU-10003347,AA-10375,CA-2015-140921,809,28.4000,2,0.000,11.0760,2015-02-03,2015-02-05,"First Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Coloredge Poster Frame",Furniture,Furnishings
TEC-AC-10004901,AA-10375,CA-2015-140921,810,149.9700,3,0.000,50.9898,2015-02-03,2015-02-05,"First Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver",Technology,Accessories
OFF-BI-10002976,AA-10375,CA-2014-158064,1174,16.5200,5,0.200,5.5755,2014-04-21,2014-04-25,"Standard Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"ACCOHIDE Binder by Acco","Office Supplies",Binders
OFF-AR-10000127,AA-10375,CA-2015-109939,1980,5.2480,2,0.200,0.5904,2015-05-08,2015-05-12,"Standard Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Newell 321","Office Supplies",Art
TEC-AC-10004145,AA-10375,CA-2016-131065,2265,499.9800,2,0.000,114.9954,2016-11-14,2016-11-16,"Second Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Logitech diNovo Edge Keyboard",Technology,Accessories
OFF-PA-10002479,AA-10375,CA-2016-131065,2266,5.2800,1,0.000,2.3760,2016-11-14,2016-11-16,"Second Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright)","Office Supplies",Paper
OFF-BI-10004970,AA-10375,CA-2016-131065,2267,8.2600,2,0.000,3.8822,2016-11-14,2016-11-16,"Second Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"ACCOHIDE 3-Ring Binder, Blue, 1"","Office Supplies",Binders
OFF-BI-10002706,AA-10375,CA-2014-130729,3009,34.2720,3,0.200,11.1384,2014-10-24,2014-10-29,"Standard Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Avery Premier Heavy-Duty Binder with Round Locking Rings","Office Supplies",Binders
OFF-ST-10003572,AA-10375,CA-2015-114503,6467,84.9600,6,0.200,6.3720,2015-11-13,2015-11-17,"Standard Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Portfile Personal File Boxes","Office Supplies",Storage
OFF-BI-10002498,AA-10375,CA-2017-100230,6749,14.9520,1,0.200,5.0463,2017-12-11,2017-12-15,"Standard Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Clear Mylar Reinforcing Strips","Office Supplies",Binders
OFF-PA-10002245,AA-10375,CA-2017-100230,6750,17.9400,3,0.000,8.0730,2017-12-11,2017-12-15,"Standard Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Xerox 1895","Office Supplies",Paper
TEC-PH-10004522,AA-10375,CA-2017-100230,6751,116.9800,2,0.000,29.2450,2017-12-11,2017-12-15,"Standard Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black",Technology,Phones
OFF-PA-10002659,AA-10375,US-2017-169488,9540,16.9000,5,0.000,7.7740,2017-09-07,2017-09-09,"First Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Avoid Verbal Orders Carbonless Minifold Book","Office Supplies",Paper
OFF-PA-10000157,AA-10375,US-2017-169488,9541,39.9600,2,0.000,18.7812,2017-09-07,2017-09-09,"First Class","Allen Armold",Consumer,"United States","Rhode Island",Providence,2908,East,"Xerox 191","Office Supplies",Paper
